price,bedrooms,bathrooms,addr,lat,lng
"15,995",3,3,25 Broad St #2A,40.7060887,-74.0111372
"5,489",2,2,25 Broad St #21M,40.7060887,-74.0111372
"4,182",1,1,25 Broad St #PHH,40.7060887,-74.0111372
"3,457",1,1,25 Broad St #14O,40.7060887,-74.0111372
"5,475",1,2,72 Wall St #37MJ,40.706159,-74.0082993
"6,550",3,5,45 Wall St #422,40.7061778,-74.0099151
"2,895",1,9,45 Wall St #1921,40.7061778,-74.0099151
"2,450",1,1,20 West St #17L,40.7062159,-74.0156972
"4,200",1,1,20 West St #12H,40.7062159,-74.0156972
"4,200",1,2,20 West St #5G,40.7062159,-74.0156972
"5,700",2,2,20 West St #8GJ,40.7062159,-74.0156972
"3,350",1,1,20 West St #16J,40.7062159,-74.0156972
"2,400",1,2,20 West St #43D,40.7062159,-74.0156972
"2,600",1,1,20 West St #33G,40.7062159,-74.0156972
"16,000",5,5,30 West St #4E,40.7063063,-74.0170784
"12,750",3,3,30 West St #17F,40.7063063,-74.0170784
"7,600",2,2,30 West St #19E,40.7063063,-74.0170784
"10,900",3,3,30 West St #9F,40.7063063,-74.0170784
"6,500",2,2,30 West St #3G,40.7063063,-74.0170784
"4,095",1,1,21 West St #19E,40.7063636,-74.015617
"2,895",1,1,21 West St #3G,40.7063636,-74.015617
"4,095",1,1,37 Wall St #7A,40.70648,-74.0101672
"3,375",1,2,37 Wall St #17D,40.70648,-74.0101672
"3,795",1,1,37 Wall St #22P,40.70648,-74.0101672
"3,125",1,1,48 Wall St #315J,40.7065668,-74.0090423
"3,400",1,1,50 Battery Pl #2D,40.7066682,-74.01813
"3,250",1,1,50 Battery Pl #6-Z,40.7066682,-74.01813
"5,000",2,2,50 Battery Pl #6W,40.7066682,-74.01813
"3,254",2,1,100 Maiden Ln #415,40.7066721,-74.007157
"2,406",1,8,100 Maiden Ln #523,40.7066721,-74.007157
"3,323",2,1,100 Maiden Ln #1614,40.7066721,-74.007157
"3,094",1,1,100 Maiden Ln #1104,40.7066721,-74.007157
"3,438",2,1,100 Maiden Ln #2405,40.7066721,-74.007157
"3,295",2,1,100 Maiden Ln #715,40.7066721,-74.007157
"2,452",1,3,100 Maiden Ln #823,40.7066721,-74.007157
"3,204",2,1,100 Maiden Ln #2009,40.7066721,-74.007157
"3,479",2,1,100 Maiden Ln #1903,40.7066721,-74.007157
"2,613",1,1,100 Maiden Ln #1014,40.7066721,-74.007157
"5,000",1,3,15 Broad St #1230,40.7067114,-74.010457
"6,995",1,2,15 Broad St #1712,40.7067114,-74.010457
"4,900",2,1,15 Broad St #2206,40.7067114,-74.010457
"7,995",2,2,15 Broad St #2314,40.7067114,-74.010457
"7,103",3,3,180 Water St #2309,40.7069308,-74.0053852
"2,718",1,1,180 Water St #2122,40.7069308,-74.0053852
"3,799",1,1,180 Water St #2012,40.7069308,-74.0053852
"6,995",2,2,70 Little West St #5K,40.7069489,-74.0169068
"8,500",2,2,70 Little West St #23B,40.7069489,-74.0169068
"9,500",2,2,70 Little West St #16C,40.7069489,-74.0169068
"8,500",2,2,70 Little West St #15D,40.7069489,-74.0169068
"4,995",1,1,70 Little West St #23A,40.7069489,-74.0169068
"10,500",3,2,70 Little West St #29E,40.7069489,-74.0169068
"4,750",1,1,70 Little West St #6C,40.7069489,-74.0169068
"7,500",2,2,70 Little West St #10J,40.7069489,-74.0169068
"13,000",3,2,70 Little West St #1A,40.7069489,-74.0169068
"8,500",2,2,70 Little West St #10L,40.7070292,-74.0165412
"10,985",3,2,70 Little West St #11M,40.7070292,-74.0165412
"5,250",1,1,70 Little West St #FUR23A,40.7070292,-74.0165412
"10,300",3,2,70 Little West St #22F,40.7070292,-74.0165412
"5,100",1,1,70 Little West St #21A,40.7070292,-74.0165412
"7,500",2,2,70 Little West St #19G,40.7070292,-74.0165412
"3,700",1,1,200 Water St #2102,40.707232,-74.0047606
"3,250",1,1,200 Water St #1504,40.707232,-74.0047606
"4,165",1,1,200 Water St #717,40.707232,-74.0047606
"3,835",1,1,200 Water St #1203,40.707232,-74.0047606
"2,950",1,9,200 Water St #507,40.707232,-74.0047606
"5,800",2,2,200 Water St #2815,40.707232,-74.0047606
"3,375",1,5,200 Water St #810,40.707232,-74.0047606
"3,850",1,1,200 Water St #1604,40.707232,-74.0047606
"3,594",1,1,70 Battery Pl #806,40.7072932,-74.0176772
"7,380",3,2,70 Battery Pl #704,40.7072932,-74.0176772
"3,295",1,2,2 Gold St #4C,40.7073585,-74.006962
